,Unnamed: 0,caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement,Marks,original_filename,Analytic,Clout,Authentic,Tone,WPS,BigWords,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,mqScore,scQual,scIdeology,nytSalience,cqSalience,final_length,citations_weight,mqavg,mqstd,mqdist,cog_complex,salience,main,cog_inc
657,657,1970-097,1970-097-01,1970-097-01-01,1970-097-01-01-01-02,5/3/1971,7,402 U.S. 363,91 S. Ct. 1400,28 L. Ed. 2d 822,1971 U.S. LEXIS 116,1970,1502,Burger,133,"UNITED STATES v. THIRTY-SEVEN (37) PHOTOGRAPHS (LUROS, CLAIMANT)",1/20/1971,,27,,117,,2,21,,1,48,,48,,0,1,,2,1,4,0,1,0,0,30200,3,1,0,1,,2,200,,95,99,1,6,3,78,HLBlack,2,2,2,1,,,1,402US363_section_05_BLACK_cleaned.txt,86.72,26.49,29.95,21.51,17.13,28.81,20.89,0.73,12.9,3.06,2.02,1.7,2.36,1.15,4.07,0.058,0.159999996,0.875,0,0,17708,1.016489722,-0.268444444,2.575690495,0.126740556,0.465479028,0,0,0.441001697
658,658,1970-097,1970-097-01,1970-097-01-01,1970-097-01-01-01-03,5/3/1971,7,402 U.S. 363,91 S. Ct. 1400,28 L. Ed. 2d 822,1971 U.S. LEXIS 116,1970,1502,Burger,133,"UNITED STATES v. THIRTY-SEVEN (37) PHOTOGRAPHS (LUROS, CLAIMANT)",1/20/1971,,27,,117,,2,21,,1,48,,48,,0,1,,2,1,4,0,1,0,0,30200,3,1,0,1,,2,200,,95,99,1,6,3,81,WODouglas,2,1,2,1,78,,1,,,,,,,,,,,,,,,,,-6.492,0.819999993,0.730000019,0,0,,,-0.268444444,2.575690495,-2.416266848,,0,0,0.422606463
659,659,1970-097,1970-097-01,1970-097-01-01,1970-097-01-01-01-04,5/3/1971,7,402 U.S. 363,91 S. Ct. 1400,28 L. Ed. 2d 822,1971 U.S. LEXIS 116,1970,1502,Burger,133,"UNITED STATES v. THIRTY-SEVEN (37) PHOTOGRAPHS (LUROS, CLAIMANT)",1/20/1971,,27,,117,,2,21,,1,48,,48,,0,1,,2,1,4,0,1,0,0,30200,3,1,0,1,,2,200,,95,99,1,6,3,91,JHarlan2,4,2,1,2,,,1,,,,,,,,,,,,,,,,,0.588,0.75,0.875,0,0,,,-0.268444444,2.575690495,0.33251062,,0,0,0.544306543
660,660,1970-097,1970-097-01,1970-097-01-01,1970-097-01-01-01-05,5/3/1971,7,402 U.S. 363,91 S. Ct. 1400,28 L. Ed. 2d 822,1971 U.S. LEXIS 116,1970,1502,Burger,133,"UNITED STATES v. THIRTY-SEVEN (37) PHOTOGRAPHS (LUROS, CLAIMANT)",1/20/1971,,27,,117,,2,21,,1,48,,48,,0,1,,2,1,4,0,1,0,0,30200,3,1,0,1,,2,200,,95,99,1,6,3,92,WJBrennan,1,1,1,2,,,1,,,,,,,,,,,,,,,,,-0.99,1,1,0,0,,,-0.268444444,2.575690495,-0.280140629,,0,0,0.473224228
661,661,1970-097,1970-097-01,1970-097-01-01,1970-097-01-01-01-06,5/3/1971,7,402 U.S. 363,91 S. Ct. 1400,28 L. Ed. 2d 822,1971 U.S. LEXIS 116,1970,1502,Burger,133,"UNITED STATES v. THIRTY-SEVEN (37) PHOTOGRAPHS (LUROS, CLAIMANT)",1/20/1971,,27,,117,,2,21,,1,48,,48,,0,1,,2,1,4,0,1,0,0,30200,3,1,0,1,,2,200,,95,99,1,6,3,94,PStewart,4,2,1,2,,,1,,,,,,,,,,,,,,,,,0.609,1,0.75,0,0,,,-0.268444444,2.575690495,0.340663774,,0,0,0.468944514
662,662,1970-097,1970-097-01,1970-097-01-01,1970-097-01-01-01-07,5/3/1971,7,402 U.S. 363,91 S. Ct. 1400,28 L. Ed. 2d 822,1971 U.S. LEXIS 116,1970,1502,Burger,133,"UNITED STATES v. THIRTY-SEVEN (37) PHOTOGRAPHS (LUROS, CLAIMANT)",1/20/1971,,27,,117,,2,21,,1,48,,48,,0,1,,2,1,4,0,1,0,0,30200,3,1,0,1,,2,200,,95,99,1,6,3,95,BRWhite,5,2,1,2,,,1,402US363_section_02_WHITE_cleaned.txt,90.73,31.9,36.65,23.45,19.58,28.88,20.43,0.69,11.8,2.35,1.56,1.1,2.43,0.59,4.6,0.608,0.5,0.5,0,0,24197,1.281150556,-0.268444444,2.575690495,0.340275528,-0.134550101,0,1,0.558504297
663,663,1970-097,1970-097-01,1970-097-01-01,1970-097-01-01-01-08,5/3/1971,7,402 U.S. 363,91 S. Ct. 1400,28 L. Ed. 2d 822,1971 U.S. LEXIS 116,1970,1502,Burger,133,"UNITED STATES v. THIRTY-SEVEN (37) PHOTOGRAPHS (LUROS, CLAIMANT)",1/20/1971,,27,,117,,2,21,,1,48,,48,,0,1,,2,1,4,0,1,0,0,30200,3,1,0,1,,2,200,,95,99,1,6,3,98,TMarshall,2,2,2,1,,,1,,,,,,,,,,,,,,,,,-0.936,0.834999979,1,0,0,,,-0.268444444,2.575690495,-0.259175377,,0,0,0.528767603
664,664,1970-097,1970-097-01,1970-097-01-01,1970-097-01-01-01-09,5/3/1971,7,402 U.S. 363,91 S. Ct. 1400,28 L. Ed. 2d 822,1971 U.S. LEXIS 116,1970,1502,Burger,133,"UNITED STATES v. THIRTY-SEVEN (37) PHOTOGRAPHS (LUROS, CLAIMANT)",1/20/1971,,27,,117,,2,21,,1,48,,48,,0,1,,2,1,4,0,1,0,0,30200,3,1,0,1,,2,200,,95,99,1,6,3,100,HABlackmun,1,1,1,2,,,1,,,,,,,,,,,,,,,,,1.89,0.970000029,0.115000002,0,0,,,-0.268444444,2.575690495,0.838006138,,0,0,0.601343678
665,665,1970-100,1970-100-01,1970-100-01-01,1970-100-01-01-01-01,5/17/1971,7,402 U.S. 424,91 S. Ct. 1535,29 L. Ed. 2d 9,1971 U.S. LEXIS 128,1970,1502,Burger,75,CALIFORNIA v. BYERS,12/8/1970,,28,6,100,,1,,,0,302,6,300,6,0,11,2,2,1,5,0,1,0,0,10090,1,1,0,2,,2,210,,99,99,1,5,4,99,WEBurger,5,2,1,2,,,1,402US424_section_02_BURGER_cleaned.txt,95.7,35.18,20.13,8.97,16.84,30.24,20.19,0.85,13.28,3.71,2.67,0.93,2.63,0.63,4.23,2.249,0.959999979,0.115000002,0,0,16793,0.655034836,-0.268444444,2.575690495,0.977386238,0.343272138,0,1,0.540590615
666,666,1970-100,1970-100-01,1970-100-01-01,1970-100-01-01-01-02,5/17/1971,7,402 U.S. 424,91 S. Ct. 1535,29 L. Ed. 2d 9,1971 U.S. LEXIS 128,1970,1502,Burger,75,CALIFORNIA v. BYERS,12/8/1970,,28,6,100,,1,,,0,302,6,300,6,0,11,2,2,1,5,0,1,0,0,10090,1,1,0,2,,2,210,,99,99,1,5,4,78,HLBlack,2,2,2,1,,,1,402US424_section_04_BLACK_cleaned.txt,92.24,37.88,15.69,20.23,16.07,28.66,19.61,0.57,13.39,3.27,2.2,1.57,2.51,1.01,4.09,0.058,0.159999996,0.875,0,0,9800,1.020408163,-0.268444444,2.575690495,0.126740556,0.450184453,0,0,0.441001697
